brand,year,age,engine_size,power,mileage,prev_owners,value
bmw,2016,2,3500,272.0,4751.0,0,24350.0
ford,2009,9,1400,96.0,59288.0,2,100.0
vw,2014,4,3600,252.0,13387.0,0,15500.0
ford,2012,6,2200,150.0,3194.0,0,5950.0
kia,2011,7,1200,80.0,2645.0,0,4600.0
bmw,2014,4,1800,164.0,5733.0,1,13950.0
ford,2011,7,1400,96.0,21330.0,2,1550.0
vw,2008,10,2300,156.0,82460.0,2,2750.0
ford,2012,6,2500,166.0,95793.0,2,1150.0
kia,2010,8,1000,67.0,45218.0,1,1750.0
vw,2017,1,2300,175.0,10137.0,0,14200.0
ford,2017,1,2000,146.0,3210.0,0,10250.0
vw,2012,6,1200,94.0,16053.0,0,6850.0
kia,2011,7,1200,81.0,12490.0,0,4350.0
vw,2011,7,1200,98.0,36950.0,0,6450.0
kia,2016,2,1100,81.0,3210.0,0,6450.0
vw,2009,9,1900,132.0,90346.0,3,1800.0
ford,2009,9,1400,96.0,11053.0,6,100.0
ford,2012,6,2500,169.0,18227.0,0,5050.0
vw,2009,9,1200,92.0,106492.0,2,750.0
vw,2017,1,1700,136.0,4619.0,0,11600.0
ford,2013,5,1400,100.0,5995.0,1,5000.0
ford,2009,9,1800,119.0,108737.0,2,100.0
ford,2009,9,3000,197.0,18765.0,3,1750.0
bmw,2013,5,4000,297.0,54084.0,0,19950.0
vw,2010,8,1200,95.0,44588.0,2,2850.0
ford,2013,5,2000,144.0,42130.0,0,4800.0
bmw,2017,1,1800,192.0,2353.0,0,20650.0
kia,2016,2,800,61.0,12934.0,1,4800.0
bmw,2012,6,2300,185.0,17676.0,2,9350.0
vw,2015,3,1500,114.0,32736.0,0,8950.0
kia,2012,6,1000,69.0,17252.0,1,3000.0
ford,2008,10,1800,115.0,124568.0,4,100.0
ferrari,2015,3,5700,536.0,41450.0,0,91000.0
kia,2011,7,1400,93.0,35837.0,1,4600.0
ford,2010,8,1800,126.0,78046.0,1,500.0
vw,2009,9,2300,152.0,151626.0,0,3650.0
ford,2009,9,1600,106.0,86625.0,3,100.0
ford,2013,5,1400,105.0,27681.0,2,2450.0
vw,2015,3,3600,259.0,35473.0,1,14950.0
ford,2010,8,1600,111.0,75778.0,4,100.0
vw,2011,7,1900,140.0,9074.0,1,7550.0
kia,2014,4,1400,99.0,37460.0,1,6150.0
ford,2010,8,1400,103.0,39467.0,0,2450.0
ford,2014,4,1400,108.0,14677.0,0,6150.0
vw,2013,5,2300,168.0,38545.0,1,8800.0
ford,2016,2,3000,213.0,1396.0,0,13550.0
ford,2010,8,1600,112.0,56643.0,5,100.0
bmw,2009,9,3500,262.0,41135.0,2,9050.0
vw,2010,8,1200,97.0,3643.0,1,5150.0
ford,2016,2,2000,150.0,623.0,1,9350.0
ford,2008,10,1800,117.0,75576.0,2,100.0
vw,2011,7,1200,90.0,86162.0,1,3650.0
bmw,2015,3,1800,192.0,37833.0,2,12200.0
ford,2017,1,2500,184.0,14990.0,0,12150.0
ford,2015,3,1100,87.0,2105.0,0,6750.0
ford,2011,7,1800,123.0,18643.0,1,3050.0
ford,2017,1,3000,212.0,5554.0,0,15450.0
bmw,2014,4,4000,305.0,42973.0,1,15800.0
ford,2010,8,3000,196.0,58762.0,2,1600.0
kia,2017,1,1200,87.0,4492.0,0,8600.0
vw,2008,10,3600,237.0,45053.0,0,7500.0
ford,2014,4,1600,116.0,52935.0,1,4200.0
vw,2012,6,1700,135.0,162471.0,1,2950.0
ford,2015,3,1400,106.0,9100.0,1,5200.0
vw,2013,5,1500,124.0,32683.0,1,6200.0
ford,2013,5,1600,117.0,38486.0,0,4400.0
vw,2014,4,1900,143.0,16224.0,1,7500.0
ford,2011,7,1400,98.0,174641.0,3,100.0
ford,2015,3,1800,135.0,58838.0,0,5250.0
vw,2010,8,1900,142.0,85709.0,2,3500.0
kia,2011,7,800,57.0,40239.0,2,1350.0
ford,2015,3,2000,149.0,4694.0,2,7350.0
kia,2009,9,1100,72.0,18961.0,2,2050.0
kia,2017,1,1000,77.0,6807.0,0,7900.0
kia,2013,5,800,57.0,19107.0,1,2600.0
ford,2009,9,1100,82.0,60332.0,0,800.0
bmw,2015,3,4000,319.0,210.0,1,21650.0
ford,2014,4,2500,172.0,168.0,4,4350.0
vw,2008,10,2300,161.0,14289.0,1,7250.0
bmw,2009,9,2500,212.0,8816.0,2,9000.0
vw,2014,4,1700,137.0,7119.0,1,9450.0
ford,2014,4,1800,130.0,4208.0,3,3850.0
bmw,2008,10,3000,250.0,38826.0,2,8150.0
ford,2012,6,1800,128.0,40246.0,0,3350.0
ford,2010,8,1400,97.0,1717.0,4,250.0
ford,2010,8,1600,110.0,9128.0,4,250.0
bmw,2014,4,1800,164.0,745.0,2,14200.0
ford,2011,7,2200,153.0,22337.0,1,3600.0
ford,2015,3,1400,102.0,46991.0,0,4100.0
ford,2014,4,3000,207.0,27870.0,0,9300.0
vw,2016,2,1200,101.0,38983.0,0,8700.0
ford,2015,3,1800,130.0,12369.0,0,7600.0
ford,2017,1,2000,148.0,796.0,0,12050.0
ford,2015,3,1600,121.0,8740.0,4,4250.0
ford,2008,10,1400,91.0,28391.0,2,100.0
ford,2015,3,1800,133.0,9191.0,0,7050.0
bmw,2013,5,2300,207.0,33676.0,1,14550.0
ford,2010,8,1800,123.0,67172.0,3,100.0
bmw,2008,10,3000,220.0,46576.0,3,5400.0
bmw,2017,1,4500,369.0,2064.0,0,29600.0
bmw,2012,6,3000,239.0,65376.0,0,12350.0
vw,2011,7,1700,131.0,30944.0,0,7450.0
ford,2010,8,2000,134.0,16750.0,0,3950.0
ford,2013,5,1100,86.0,22947.0,1,3550.0
vw,2013,5,2300,171.0,48939.0,1,9400.0
bmw,2014,4,3500,304.0,44661.0,0,19600.0
vw,2013,5,2300,171.0,28261.0,1,8400.0
ford,2012,6,3000,198.0,59358.0,1,3850.0
vw,2012,6,1700,133.0,106274.0,0,5450.0
ford,2008,10,1600,111.0,24130.0,4,100.0
vw,2016,2,3600,262.0,2242.0,0,20800.0
kia,2010,8,1000,65.0,20795.0,3,1500.0
ford,2016,2,1100,90.0,18726.0,0,6200.0
ford,2011,7,1100,81.0,3501.0,0,3850.0
kia,2012,6,1400,96.0,37949.0,1,3950.0
vw,2016,2,2300,167.0,2015.0,0,13250.0
kia,2015,3,1000,72.0,5413.0,0,5550.0
ford,2013,5,1600,116.0,62167.0,0,3500.0
ford,2010,8,2000,136.0,14339.0,1,2950.0
vw,2008,10,1700,115.0,74966.0,1,3550.0
ford,2012,6,1100,88.0,11205.0,0,3700.0
kia,2015,3,1200,87.0,8086.0,0,6850.0
kia,2017,1,1100,80.0,1669.0,0,5500.0
ford,2008,10,1100,81.0,29755.0,1,700.0
bmw,2015,3,1800,196.0,12670.0,1,17900.0
ford,2014,4,1800,130.0,5780.0,1,6300.0
vw,2016,2,1500,116.0,12267.0,0,11800.0
kia,2015,3,800,62.0,20026.0,0,4200.0
kia,2008,10,1000,64.0,47670.0,3,350.0
vw,2008,10,2300,149.0,14088.0,0,5650.0
vw,2011,7,2300,166.0,15442.0,3,6250.0
ford,2010,8,2000,135.0,49692.0,2,750.0
bmw,2008,10,4000,306.0,104235.0,1,5200.0
ford,2015,3,2200,155.0,6399.0,0,7600.0
ford,2014,4,2000,144.0,12776.0,2,6200.0
vw,2015,3,1700,130.0,13196.0,0,12300.0
bmw,2016,2,4000,323.0,4723.0,0,23400.0
bmw,2009,9,2300,177.0,175319.0,3,100.0
bmw,2008,10,3000,247.0,198186.0,2,100.0
vw,2011,7,3600,248.0,36784.0,1,10250.0
vw,2017,1,1500,118.0,15492.0,0,9550.0
ford,2012,6,3000,204.0,23099.0,1,4350.0
ford,2017,1,2500,187.0,14631.0,0,12900.0
bmw,2015,3,3500,297.0,3876.0,0,27000.0
vw,2008,10,1700,114.0,32383.0,1,4700.0
bmw,2012,6,4500,344.0,6158.0,3,15400.0
ferrari,2008,10,4500,434.0,73019.0,3,25250.0
kia,2014,4,1200,82.0,38935.0,2,4950.0
vw,2017,1,1900,148.0,1377.0,0,13500.0
bmw,2015,3,2300,229.0,21788.0,2,18350.0
ford,2009,9,3000,192.0,114674.0,2,100.0
vw,2011,7,1200,91.0,41617.0,1,4850.0
kia,2009,9,800,52.0,81851.0,3,100.0
ford,2017,1,2000,150.0,3135.0,0,11050.0
bmw,2009,9,4500,331.0,41439.0,0,14200.0
bmw,2017,1,1800,161.0,3132.0,0,18350.0
ford,2017,1,2000,148.0,698.0,0,10200.0
